address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,19,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521485435000,False,SMITHFIELD NORTH,11,Dublin,OPEN
Parnell Square North,30,18,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521485357000,False,PARNELL SQUARE NORTH,2,Dublin,OPEN
Clonmel Street,54,10,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521485384000,False,CLONMEL STREET,23,Dublin,OPEN
Mount Street Lower,56,1,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521485278000,False,MOUNT STREET LOWER,39,Dublin,OPEN
Christchurch Place,6,2,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521485210000,False,CHRISTCHURCH PLACE,18,Dublin,OPEN
Grantham Street,18,3,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521485265000,False,GRANTHAM STREET,27,Dublin,OPEN
Pearse Street,32,21,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521485299000,False,PEARSE STREET,9,Dublin,OPEN
York Street East,52,28,False,32,"{'lat': 53.338755, 'lng': -6.262003}",1521485195000,False,YORK STREET EAST,4,Dublin,OPEN
Excise Walk,48,24,False,40,"{'lat': 53.347777, 'lng': -6.244239}",1521485330000,False,EXCISE WALK,16,Dublin,OPEN
Fitzwilliam Square West,13,8,False,30,"{'lat': 53.336074, 'lng': -6.252825}",1521485205000,False,FITZWILLIAM SQUARE WEST,22,Dublin,OPEN
Portobello Road,43,13,True,30,"{'lat': 53.330091, 'lng': -6.268044}",1521485735000,False,PORTOBELLO ROAD,17,Dublin,OPEN
St. James Hospital (Central),81,34,False,40,"{'lat': 53.339983, 'lng': -6.295594}",1521485156000,False,ST. JAMES HOSPITAL (CENTRAL),6,Dublin,OPEN
Parnell Street,31,16,False,20,"{'lat': 53.350929, 'lng': -6.265125}",1521485193000,False,PARNELL STREET,4,Dublin,OPEN
Frederick Street South,98,20,True,30,"{'lat': 53.341515, 'lng': -6.256853}",1521485713000,False,FREDERICK STREET SOUTH,10,Dublin,OPEN
Fownes Street Upper,14,4,False,30,"{'lat': 53.344603, 'lng': -6.263371}",1521485695000,False,FOWNES STREET UPPER,26,Dublin,OPEN
Clarendon Row,1,7,False,31,"{'lat': 53.340927, 'lng': -6.262501}",1521485197000,False,CLARENDON ROW,24,Dublin,OPEN
Custom House,23,0,True,30,"{'lat': 53.348279, 'lng': -6.254662}",1521485382000,False,CUSTOM HOUSE,30,Dublin,CLOSED
Hanover Quay,68,22,True,40,"{'lat': 53.344115, 'lng': -6.237153}",1521485443000,False,HANOVER QUAY,18,Dublin,OPEN
Oliver Bond Street,74,24,False,30,"{'lat': 53.343893, 'lng': -6.280531}",1521485590000,False,OLIVER BOND STREET,6,Dublin,OPEN
Collins Barracks Museum,87,32,True,38,"{'lat': 53.347477, 'lng': -6.28525}",1521485541000,False,COLLINS BARRACKS MUSEUM,6,Dublin,OPEN
Brookfield Road,84,27,False,30,"{'lat': 53.339005, 'lng': -6.300217}",1521485198000,False,BROOKFIELD ROAD,3,Dublin,OPEN
Benson Street,90,0,False,40,"{'lat': 53.344153, 'lng': -6.233451}",1521485137000,False,BENSON STREET,0,Dublin,CLOSED
Earlsfort Terrace,11,29,False,30,"{'lat': 53.334019, 'lng': -6.258371}",1521485284000,False,EARLSFORT TERRACE,1,Dublin,OPEN
Golden Lane,17,5,False,20,"{'lat': 53.340803, 'lng': -6.267732}",1521485144000,False,GOLDEN LANE,15,Dublin,OPEN
Deverell Place,45,19,False,30,"{'lat': 53.351464, 'lng': -6.255265}",1521485682000,False,DEVERELL PLACE,11,Dublin,OPEN
John Street West,72,10,False,31,"{'lat': 53.343105, 'lng': -6.277167}",1521485724000,False,JOHN STREET WEST,21,Dublin,OPEN
Fenian Street,63,0,False,35,"{'lat': 53.341428, 'lng': -6.24672}",1521485663000,False,FENIAN STREET,35,Dublin,OPEN
South Dock Road,91,1,False,30,"{'lat': 53.341833, 'lng': -6.231291}",1521485710000,False,SOUTH DOCK ROAD,29,Dublin,OPEN
City Quay,99,25,False,30,"{'lat': 53.346637, 'lng': -6.246154}",1521485210000,False,CITY QUAY,5,Dublin,OPEN
Exchequer Street,9,3,False,24,"{'lat': 53.343034, 'lng': -6.263578}",1521485552000,False,EXCHEQUER STREET,21,Dublin,OPEN
The Point,67,21,False,40,"{'lat': 53.346867, 'lng': -6.230852}",1521485401000,False,THE POINT,19,Dublin,OPEN
Hatch Street,55,33,False,36,"{'lat': 53.33403, 'lng': -6.260714}",1521485615000,False,HATCH STREET,3,Dublin,OPEN
Lime Street,62,20,False,40,"{'lat': 53.346026, 'lng': -6.243576}",1521485353000,False,LIME STREET,20,Dublin,OPEN
Charlemont Street,5,30,False,40,"{'lat': 53.330662, 'lng': -6.260177}",1521485712000,False,CHARLEMONT PLACE,10,Dublin,OPEN
Kilmainham Gaol,97,33,True,40,"{'lat': 53.342113, 'lng': -6.310015}",1521485690000,False,KILMAINHAM GAOL,7,Dublin,OPEN
Hardwicke Place,61,25,True,25,"{'lat': 53.357043, 'lng': -6.263232}",1521485708000,False,HARDWICKE PLACE,0,Dublin,OPEN
Wolfe Tone Street,77,5,False,29,"{'lat': 53.348875, 'lng': -6.267459}",1521485179000,False,WOLFE TONE STREET,24,Dublin,OPEN
Francis Street,73,10,True,30,"{'lat': 53.342081, 'lng': -6.275233}",1521485130000,False,FRANCIS STREET,20,Dublin,OPEN
Greek Street,4,15,False,20,"{'lat': 53.346874, 'lng': -6.272976}",1521485174000,False,GREEK STREET,5,Dublin,OPEN
Guild Street,49,40,False,40,"{'lat': 53.347932, 'lng': -6.240928}",1521485397000,False,GUILD STREET,0,Dublin,OPEN
Herbert Place,19,17,False,30,"{'lat': 53.334432, 'lng': -6.245575}",1521485364000,False,HERBERT PLACE,13,Dublin,OPEN
High Street,7,15,True,29,"{'lat': 53.343565, 'lng': -6.275071}",1521485343000,False,HIGH STREET,14,Dublin,OPEN
North Circular Road,60,19,True,30,"{'lat': 53.359624, 'lng': -6.260348}",1521485730000,False,NORTH CIRCULAR ROAD,11,Dublin,OPEN
Western Way,102,34,False,40,"{'lat': 53.354929, 'lng': -6.269425}",1521485610000,False,WESTERN WAY,6,Dublin,OPEN
Talbot Street,38,15,False,40,"{'lat': 53.350974, 'lng': -6.25294}",1521485736000,False,TALBOT STREET,25,Dublin,OPEN
Newman House,53,32,False,40,"{'lat': 53.337132, 'lng': -6.26059}",1521485602000,False,NEWMAN HOUSE,8,Dublin,OPEN
Sir Patrick's Dun,58,20,True,40,"{'lat': 53.339218, 'lng': -6.240642}",1521485291000,False,SIR PATRICK DUN'S,20,Dublin,OPEN
New Central Bank,66,33,False,40,"{'lat': 53.347122, 'lng': -6.234749}",1521485629000,False,NEW CENTRAL BANK,7,Dublin,OPEN
King Street North,101,24,False,30,"{'lat': 53.350291, 'lng': -6.273507}",1521485668000,False,KING STREET NORTH,6,Dublin,OPEN
Herbert Street,47,3,False,40,"{'lat': 53.335742, 'lng': -6.24551}",1521485382000,False,HERBERT STREET,37,Dublin,OPEN
Custom House Quay,8,13,False,30,"{'lat': 53.347884, 'lng': -6.248048}",1521485682000,False,CUSTOM HOUSE QUAY,17,Dublin,OPEN
Molesworth Street,27,12,False,20,"{'lat': 53.341288, 'lng': -6.258117}",1521485270000,False,MOLESWORTH STREET,8,Dublin,OPEN
Georges Quay,16,3,False,20,"{'lat': 53.347508, 'lng': -6.252192}",1521485524000,False,GEORGES QUAY,17,Dublin,OPEN
Kilmainham Lane,96,30,False,30,"{'lat': 53.341805, 'lng': -6.305085}",1521485313000,False,KILMAINHAM LANE,0,Dublin,OPEN
Mount Brown,82,14,False,22,"{'lat': 53.341645, 'lng': -6.29719}",1521485217000,False,MOUNT BROWN,8,Dublin,OPEN
Market Street South,76,28,False,38,"{'lat': 53.342296, 'lng': -6.287661}",1521485678000,False,MARKET STREET SOUTH,10,Dublin,OPEN
Kevin Street,71,24,True,40,"{'lat': 53.337757, 'lng': -6.267699}",1521485358000,False,KEVIN STREET,16,Dublin,OPEN
Eccles Street East,79,27,False,27,"{'lat': 53.358115, 'lng': -6.265601}",1521485639000,False,ECCLES STREET EAST,0,Dublin,OPEN
Grand Canal Dock,69,5,False,40,"{'lat': 53.342638, 'lng': -6.238695}",1521485698000,False,GRAND CANAL DOCK,35,Dublin,OPEN
Merrion Square East,25,0,False,30,"{'lat': 53.339434, 'lng': -6.246548}",1521485198000,False,MERRION SQUARE EAST,30,Dublin,CLOSED
York Street West,51,21,False,40,"{'lat': 53.339334, 'lng': -6.264699}",1521485346000,False,YORK STREET WEST,19,Dublin,OPEN
St. Stephen's Green South,37,25,True,30,"{'lat': 53.337494, 'lng': -6.26199}",1521485557000,False,ST. STEPHEN'S GREEN SOUTH,5,Dublin,OPEN
Denmark Street Great,59,18,False,20,"{'lat': 53.35561, 'lng': -6.261397}",1521485726000,False,DENMARK STREET GREAT,2,Dublin,OPEN
Royal Hospital,95,34,True,40,"{'lat': 53.343897, 'lng': -6.29706}",1521485299000,False,ROYAL HOSPITAL,6,Dublin,OPEN
Heuston Station (Car Park),94,17,False,40,"{'lat': 53.346985, 'lng': -6.297804}",1521485469000,False,HEUSTON STATION (CAR PARK),23,Dublin,OPEN
St. Stephen's Green East,36,20,True,40,"{'lat': 53.337824, 'lng': -6.256035}",1521485652000,False,ST. STEPHEN'S GREEN EAST,20,Dublin,OPEN
Heuston Station (Central),93,0,False,40,"{'lat': 53.346603, 'lng': -6.296924}",1521485597000,False,HEUSTON STATION (CENTRAL),40,Dublin,OPEN
Townsend Street,22,11,False,20,"{'lat': 53.345922, 'lng': -6.254614}",1521485575000,False,TOWNSEND STREET,9,Dublin,OPEN
Eccles Street,12,20,False,20,"{'lat': 53.359246, 'lng': -6.269779}",1521485271000,False,ECCLES STREET,0,Dublin,OPEN
Portobello Harbour,34,5,False,30,"{'lat': 53.330362, 'lng': -6.265163}",1521485735000,False,PORTOBELLO HARBOUR,25,Dublin,OPEN
Mater Hospital,78,36,False,40,"{'lat': 53.359967, 'lng': -6.264828}",1521485359000,False,MATER HOSPITAL,4,Dublin,OPEN
Blessington Street,2,20,True,20,"{'lat': 53.356769, 'lng': -6.26814}",1521485231000,False,BLESSINGTON STREET,0,Dublin,OPEN
James Street,75,40,True,40,"{'lat': 53.343456, 'lng': -6.287409}",1521485623000,False,JAMES STREET,0,Dublin,OPEN
Merrion Square West,26,16,True,20,"{'lat': 53.339764, 'lng': -6.251988}",1521485464000,False,MERRION SQUARE WEST,4,Dublin,CLOSED
Convention Centre,65,40,True,40,"{'lat': 53.34744, 'lng': -6.238523}",1521485444000,False,CONVENTION CENTRE,0,Dublin,OPEN
Hardwicke Street,15,15,False,16,"{'lat': 53.355473, 'lng': -6.264423}",1521485733000,False,HARDWICKE STREET,1,Dublin,OPEN
Parkgate Street,86,30,True,38,"{'lat': 53.347972, 'lng': -6.291804}",1521485431000,False,PARKGATE STREET,8,Dublin,OPEN
Smithfield,35,20,False,30,"{'lat': 53.347692, 'lng': -6.278214}",1521485504000,False,SMITHFIELD,10,Dublin,OPEN
Dame Street,10,0,True,16,"{'lat': 53.344007, 'lng': -6.266802}",1521485535000,False,DAME STREET,16,Dublin,OPEN
Heuston Bridge (South),100,22,False,25,"{'lat': 53.347106, 'lng': -6.292041}",1521485295000,False,HEUSTON BRIDGE (SOUTH),3,Dublin,OPEN
Cathal Brugha Street,24,9,False,20,"{'lat': 53.352149, 'lng': -6.260533}",1521485665000,False,CATHAL BRUGHA STREET,10,Dublin,OPEN
Sandwith Street,64,0,True,40,"{'lat': 53.345203, 'lng': -6.247163}",1521485507000,False,SANDWITH STREET,0,Dublin,CLOSED
Rothe Abbey,85,34,True,35,"{'lat': 53.338776, 'lng': -6.30395}",1521485594000,False,ROTHE ABBEY,1,Dublin,OPEN
Princes Street / O'Connell Street,33,2,True,23,"{'lat': 53.349013, 'lng': -6.260311}",1521485309000,False,PRINCES STREET / O'CONNELL STREET,21,Dublin,OPEN
Upper Sherrard Street,44,27,False,30,"{'lat': 53.358437, 'lng': -6.260641}",1521485519000,False,UPPER SHERRARD STREET,3,Dublin,OPEN
Fitzwilliam Square East,89,0,True,40,"{'lat': 53.335211, 'lng': -6.2509}",1521485181000,False,FITZWILLIAM SQUARE EAST,0,Dublin,CLOSED
Grattan Street,57,9,False,23,"{'lat': 53.339629, 'lng': -6.243778}",1521485317000,False,GRATTAN STREET,14,Dublin,OPEN
St James Hospital (Luas),80,38,False,40,"{'lat': 53.341359, 'lng': -6.292951}",1521485150000,False,ST JAMES HOSPITAL (LUAS),2,Dublin,OPEN
Harcourt Terrace,41,17,False,20,"{'lat': 53.332763, 'lng': -6.257942}",1521485195000,False,HARCOURT TERRACE,3,Dublin,OPEN
Bolton Street,3,11,False,20,"{'lat': 53.351182, 'lng': -6.269859}",1521485552000,False,BOLTON STREET,9,Dublin,OPEN
Strand Street Great,46,1,True,35,"{'lat': 53.347082, 'lng': -6.264192}",1521485427000,False,STRAND STREET GREAT,34,Dublin,OPEN
Jervis Street,40,5,True,21,"{'lat': 53.3483, 'lng': -6.266651}",1521485731000,False,JERVIS STREET,16,Dublin,OPEN
Ormond Quay Upper,29,1,True,29,"{'lat': 53.346057, 'lng': -6.268001}",1521485732000,False,ORMOND QUAY UPPER,28,Dublin,OPEN
Barrow Street,70,8,True,40,"{'lat': 53.341655, 'lng': -6.236198}",1521485653000,False,BARROW STREET,32,Dublin,OPEN
Mountjoy Square West,28,30,False,30,"{'lat': 53.356299, 'lng': -6.258586}",1521485699000,False,MOUNTJOY SQUARE WEST,0,Dublin,OPEN
Wilton Terrace,39,16,True,20,"{'lat': 53.332383, 'lng': -6.252717}",1521485698000,False,WILTON TERRACE,4,Dublin,OPEN
Emmet Road,83,34,False,40,"{'lat': 53.340714, 'lng': -6.308191}",1521485205000,False,EMMET ROAD,6,Dublin,OPEN
Heuston Bridge (North),92,6,False,40,"{'lat': 53.347802, 'lng': -6.292432}",1521485714000,False,HEUSTON BRIDGE (NORTH),34,Dublin,OPEN
Leinster Street South,21,3,False,30,"{'lat': 53.34218, 'lng': -6.254485}",1521485583000,False,LEINSTER STREET SOUTH,27,Dublin,OPEN
Blackhall Place,88,28,False,30,"{'lat': 53.3488, 'lng': -6.281637}",1521485372000,False,BLACKHALL PLACE,2,Dublin,OPEN
address,number,available_bike_stands,banking,bike_stands,position,last_update,bonus,name,available_bikes,contract_name,status
Smithfield North,42,18,True,30,"{'lat': 53.349562, 'lng': -6.278198}",1521485972000,False,SMITHFIELD NORTH,12,Dublin,OPEN
Parnell Square North,30,17,True,20,"{'lat': 53.353462, 'lng': -6.265305}",1521485990000,False,PARNELL SQUARE NORTH,3,Dublin,OPEN
Clonmel Street,54,10,False,33,"{'lat': 53.336021, 'lng': -6.26298}",1521485993000,False,CLONMEL STREET,23,Dublin,OPEN
Mount Street Lower,56,1,False,40,"{'lat': 53.33796, 'lng': -6.24153}",1521485887000,False,MOUNT STREET LOWER,39,Dublin,OPEN
Christchurch Place,6,2,False,20,"{'lat': 53.343368, 'lng': -6.27012}",1521485819000,False,CHRISTCHURCH PLACE,18,Dublin,OPEN
Grantham Street,18,1,True,30,"{'lat': 53.334123, 'lng': -6.265436}",1521485998000,False,GRANTHAM STREET,29,Dublin,OPEN
Pearse Street,32,22,True,30,"{'lat': 53.344304, 'lng': -6.250427}",1521485909000,False,PEARSE STREET,8,Dublin,OPEN
